nome_parametro_2,unidade_medida_parametro,tipo_parametro,descritor_parametro
precipitação,mm,absoluto,"precipitação pluviométrica, em milímetros"
pressão,mbar,absoluto,"pressão atmosférica, em milibares"
radiação,w/m2,absoluto,"radiação solar, em watts por metro quadrado"
temperatura,°C,absoluto,"temperatura, em graus Celsius"
umidade,%,percentual,"umidade relativa do ar, em graus percentuais"
direção do vento,°,absoluto,"direção do vento, em graus, a partir do norte geográfico absoluto"
velocidade do vento,m/s,absoluto,"velocidade do vento, em metros por segundo"
so2,μg/m^3,absoluto,"concentração de SO2 (dióxido de enxofre), em microgramas por metro cúbico de ar"
no2,μg/m^3,absoluto,"concentração de NO2 (dióxido de nitrogênio), em microgramas por metro cúbico de ar"
hcnm,μg/m^3,absoluto,"oncentração de hidrocarbonetos não-metano, em microgramas por metro cúbico de ar"
hct,μg/m^3,absoluto,"concentração de hidrocarbonetos totais, através do cálculo dos parâmetros HCNM + CH4 = HCT, em microgramas por metro cúbico de ar"
ch4,μg/m^3,absoluto,"concentração de CH4 (metano), em microgramas por metro cúbico de ar"
co,ppm,absoluto,"concentração de CO (monóxido de carbono), em partes por milhão"
no,μg/m^3,absoluto,"oncentração de NO (monóxido de nitrogênio), em microgramas por metro cúbico de ar"
nox,μg/m^3,absoluto,"concentração de óxidos de nitrogênio no geral, através do cálculo dos parâmetros NO + NO2 = NOx, em microgramas por metro cúbico de ar"
o3,μg/m^3,absoluto,"concentração de O3 (ozônio), em microgramas por metro cúbico de ar"
pm10,μg/m^3,absoluto,"concentração de materiais particulados com partículas menores que 10 micrômetros (PM10), em microgramas por metro cúbico de ar"
pm2.5,μg/m^3,absoluto,"concentração de materiais particulados com partículas menores que 2,5 micrômetros (PM2,5), em microgramas por metro cúbico de ar"
lat,°,absoluto,"latitude global da estação de monitoramento que realizou a medição"
lon,°,absoluto,"longitude global da estação de monitoramento que realizou a medição"
x_utm_sirgas2000,m,absoluto,"coordenada X (latitudinal) da estação em UTM, para uso no sistema de georeferenciamento SIRGAS 2000"
y_utm_sirgas2000,m,absoluto,"coordenada Y (longitudinal) da estação em UTM, para uso no sistema de georeferenciamento SIRGAS 2000" 