Mercadoria,Calorias(1000),Proteinas(gramas),Cálcio(gramas),Ferro(mg),Vitamina A(1000I.U.),Tiamina(mg.),Riboflavina(mg.),Niacina(mg.),Ácido Ascórbico(mg.)
Farinha de trigo (enriquecida),44,7,1411,2.0,365,-,55.4,33.3,441
Farinha de milho,36,897,1.7,99,30.9,17.4,7.9,106,-
Leite evaporado (lata),8.4,422,15.1,9,26.0,3.0,23.5,11,60
Margarina,20.6,17,0.6,6,55.8,0.2,-,-,-
Queijo (cheddar),7.4,448,16.4,19,28.1,0.8,10.3,4,-
Pasta de amendoim,15.7,661,1.0,48,-,9.6,8.1,471,-
Bacon,41.7,0,0,0,0.2,-,5,5,-
Fígado (boi),2.2,333,0.2,139,169.2,6.4,50.8,316,525
Lombo de porco assado,4.4,249,0.3,37,-,18.2,3.6,79,-
Salmão Rosa,5.8,705,6.8,45,3.5,1.0,4.9,209,-
Feijão verde,2.4,138,3.7,80,69.0,4.3,5.8,37,862
Repolho,2.6,125,4.0,36,7.2,9.0,4.5,26,5369
Cebola,5.8,166,3.8,59,16.6,4.7,5.9,21,1184
Batatas,14.3,336,1.8,118,6.7,29.4,7.1,198,2522
Espinafre,1.1,106,-,138,918.4,5.7,13.8,33,2755
Batata-doce,9.6,138,2.7,54,290.7,8.4,5.4,83,1912
Pêssegos secos,8.5,87,1.7,173,86.8,1.2,4.3,65,257
Ameixas secas,12.8,99,2.5,154,85.7,3.9,4.3,65,257
Feijão verde seco,17.4,1055,3.7,459,5.1,26.9,38.2,93,-
Feijão branco seco,26.9,1691,11.4,792,-,38.4,24.6,217,-
Produto X,58,-,6.3,-,52,-,4.4,-,45